Id	Ref_Name	Language_Type	Part2B	Part2T	Part1	Scope			Comment
adf	Dhofari Arabic	L				I			
adg	Andegerebinha	L				I			
adh	Adhola	L				I			
adi	Adi	L				I			
adj	Adioukrou	L				I			
adl	Galo	L				I			
adn	Adang	L				I			
ado	Abu	L				I			
adq	Adangbe	L				I			
adr	Adonara	L				I			
ads	Adamorobe Sign Language	L				I			
adt	Adnyamathanha	L				I			
adu	Aduge	L				I			
adw	Amundava	L				I			
adx	Amdo Tibetan	L				I			
ady	Adyghe	L	ady	ady		I			
adz	Adzera	L				I			
aea	Areba	E				I			
aeb	Tunisian Arabic	L				I			
aec	Saidi Arabic	L				I			
aed	Argentine Sign Language	L				I			
aee	Northeast Pashai	L				I			
aek	Haeke	L				I			
ael	Ambele	L				I			
aem	Arem	L				I			
aen	Armenian Sign Language	L				I			
aeq	Aer	L				I			
aer	Eastern Arrernte	L				I			
aes	Alsea	E				I			
aeu	Akeu	L				I			
aew	Ambakich	L				I			
aey	Amele	L				I			
aez	Aeka	L				I			
afb	Gulf Arabic	L				I			
afd	Andai	L				I			
afe	Putukwam	L				I			
afg	Afghan Sign Language	L				I			
afh	Afrihili	C	afh	afh		I			
afi	Akrukay	L				I			
afk	Nanubae	L				I			
afn	Defaka	L				I			
afo	Eloyi	L				I			
afp	Tapei	L				I			
afr	Afrikaans	L	afr	afr	af	I			
afs	Afro-Seminole Creole	L				I			
aft	Afitti	L				I			
afu	Awutu	L				I			
afz	Obokuitai	L				I			
aga	Aguano	E				I			
agb	Legbo	L				I			
agc	Agatu	L				I			
agd	Agarabi	L				I			
age	Angal	L				I			
agf	Arguni	L				I			
agg	Angor	L				I			
agh	Ngelima	L				I			
agi	Agariya	L				I			
agj	Argobba	L				I			
agk	Isarog Agta	L				I			
agl	Fembe	L				I			
agm	Angaataha	L				I			
agn	Agutaynen	L				I			
ago	Tainae	L				I			
agq	Aghem	L				I			
agr	Aguaruna	L				I			
ags	Esimbi	L				I			
agt	Central Cagayan Agta	L				I			
agu	Aguacateco	L				I			
agv	Remontado Dumagat	L				I			
agw	Kahua	L				I			
agx	Aghul	L				I			
agy	Southern Alta	L				I			
agz	Mt. Iriga Agta	L				I			
aha	Ahanta	L				I			
ahb	Axamb	L				I			
ahg	Qimant	L				I			
ahh	Aghu	L				I			
ahi	Tiagbamrin Aizi	L				I			
ahk	Akha	L				I			
ahl	Igo	L				I			
ahm	Mobumrin Aizi	L				I			
ahn	Àhàn	L				I			
aho	Ahom	E				I			
ahp	Aproumu Aizi	L				I			
ahr	Ahirani	L				I			
ahs	Ashe	L				I			
aht	Ahtena	L				I			
aia	Arosi	L				I			
aib	Ainu (China)	L				I			
aic	Ainbai	L				I			
aid	Alngith	E				I			
aie	Amara	L				I			
aif	Agi	L				I			
aig	Antigua and Barbuda Creole English	L				I			
aih	Ai-Cham	L				I			
aii	Assyrian Neo-Aramaic	L				I			
aij	Lishanid Noshan	L				I			
aik	Ake	L				I			
ail	Aimele	L				I			
aim	Aimol	L				I			
ain	Ainu (Japan)	L	ain	ain		I			
aio	Aiton	L				I			
aip	Burumakok	L				I			
aiq	Aimaq	L				I			
air	Airoran	L				I			
ait	Arikem	E				I			
aiw	Aari	L				I			
aix	Aighon	L				I			
aiy	Ali	L				I			
aja	Aja (South Sudan)	L				I			
ajg	Aja (Benin)	L				I			
aji	Ajië	L				I			
ajn	Andajin	L				I			
ajp	South Levantine Arabic	L				I			
ajs	Algerian Jewish Sign Language	L				I			
aju	Judeo-Moroccan Arabic	L				I			
ajw	Ajawa	E				I			
ajz	Amri Karbi	L				I			
aka	Akan	L	aka	aka	ak	M			
akb	Batak Angkola	L				I			
akc	Mpur	L				I			
akd	Ukpet-Ehom	L				I			
ake	Akawaio	L				I			
akf	Akpa	L				I			
akg	Anakalangu	L				I			
akh	Angal Heneng	L				I			
aki	Aiome	L				I			
akj	Aka-Jeru	E				I			
akk	Akkadian	A	akk	akk		I			
akl	Aklanon	L				I			
akm	Aka-Bo	E				I			
ako	Akurio	L				I			
akp	Siwu	L				I			
akq	Ak	L				I			
akr	Araki	L				I			
aks	Akaselem	L				I			
akt	Akolet	L				I			
aku	Akum	L				I			
akv	Akhvakh	L				I			
akw	Akwa	L				I			
akx	Aka-Kede	E				I			
aky	Aka-Kol	E				I			
akz	Alabama	L				I			
ala	Alago	L				I			
alc	Qawasqar	L				I			
ald	Alladian	L				I			
ale	Aleut	L	ale	ale		I			
alf	Alege	L				I			
alh	Alawa	L				I			
ali	Amaimon	L				I			
alj	Alangan	L				I			
alk	Alak	L				I			
all	Allar	L				I			
alm	Amblong	L				I			
aln	Gheg Albanian	L				I			
alo	Larike-Wakasihu	L				I			
alp	Alune	L				I			
alq	Algonquin	L				I			
alr	Alutor	L				I			
als	Tosk Albanian	L				I			
alt	Southern Altai	L	alt	alt		I			
alu	'Are'are	L				I			
alw	Alaba-K’abeena	L				I			
alx	Amol	L				I			
aly	Alyawarr	L				I			
alz	Alur	L				I			
ama	Amanayé	E				I			
amb	Ambo	L				I			
amc	Amahuaca	L				I			
ame	Yanesha'	L				I			
amf	Hamer-Banna	L				I			
amg	Amurdak	L				I			
amh	Amharic	L	amh	amh	am	I			
ami	Amis	L				I			
amj	Amdang	L				I			
amk	Ambai	L				I			
aml	War-Jaintia	L				I			
amm	Ama (Papua New Guinea)	L				I			
amn	Amanab	L				I			
amo	Amo	L				I			
amp	Alamblak	L				I			
amq	Amahai	L				I			
amr	Amarakaeri	L				I			
ams	Southern Amami-Oshima	L				I			
amt	Amto	L				I			
amu	Guerrero Amuzgo	L				I			
amv	Ambelau	L				I			
amw	Western Neo-Aramaic	L				I			
amx	Anmatyerre	L				I			
amy	Ami	L				I			
amz	Atampaya	E				I			
ana	Andaqui	E				I			
anb	Andoa	E				I			
anc	Ngas	L				I			
and	Ansus	L				I			
ane	Xârâcùù	L				I			
anf	Animere	L				I			
ang	Old English (ca. 450-1100)	H	ang	ang		I			
anh	Nend	L				I			
ani	Andi	L				I			
anj	Anor	L				I			
ank	Goemai	L				I			
anl	Anu-Hkongso Chin	L				I			
anm	Anal	L				I			
ann	Obolo	L				I			
ano	Andoque	L				I			
anp	Angika	L	anp	anp		I			
anq	Jarawa (India)	L				I			
anr	Andh	L				I			
ans	Anserma	E				I			
ant	Antakarinya	L				I			
anu	Anuak	L				I			
anv	Denya	L				I			
anw	Anaang	L				I			
anx	Andra-Hus	L				I			
any	Anyin	L				I			
anz	Anem	L				I			
aoa	Angolar	L				I			
aob	Abom	L				I			
aoc	Pemon	L				I			
aod	Andarum	L				I			
aoe	Angal Enen	L				I			
aof	Bragat	L				I			
aog	Angoram	L				I			
aoi	Anindilyakwa	L				I			
aoj	Mufian	L				I			
aok	Arhö	L				I			
aol	Alor	L				I			
aom	Ömie	L				I			
aon	Bumbita Arapesh	L				I			
aor	Aore	E				I			
aos	Taikat	L				I			
aot	Atong (India)	L				I			
aou	A'ou	L				I			
aox	Atorada	L				I			
aoz	Uab Meto	L				I			
apb	Sa'a	L				I			
apc	North Levantine Arabic	L				I			
apd	Sudanese Arabic	L				I			
ape	Bukiyip	L				I			
apf	Pahanan Agta	L				I			
apg	Ampanang	L				I			
aph	Athpariya	L				I			
api	Apiaká	L				I			
apj	Jicarilla Apache	L				I			
apk	Kiowa Apache	L				I			
apl	Lipan Apache	L				I			
apm	Mescalero-Chiricahua Apache	L				I			
apn	Apinayé	L				I			
apo	Ambul	L				I			
app	Apma	L				I			
apq	A-Pucikwar	L				I			
apr	Arop-Lokep	L				I			
aps	Arop-Sissano	L				I			
apt	Apatani	L				I			
apu	Apurinã	L				I			
apv	Alapmunte	E				I			
apw	Western Apache	L				I			
apx	Aputai	L				I			
apy	Apalaí	L				I			
apz	Safeyoka	L				I			
aqc	Archi	L				I			
aqd	Ampari Dogon	L				I			
aqg	Arigidi	L				I			
aqk	Aninka	L				I			
aqm	Atohwaim	L				I			
aqn	Northern Alta	L				I			
aqp	Atakapa	E				I			
aqr	Arhâ	L				I			
aqt	Angaité	L				I			
aqz	Akuntsu	L				I			
ara	Arabic	L	ara	ara	ar	M			
arb	Standard Arabic	L				I			
arc	Official Aramaic (700-300 BCE)	A	arc	arc		I			
ard	Arabana	E				I			
are	Western Arrarnta	L				I			
arg	Aragonese	L	arg	arg	an	I			
arh	Arhuaco	L				I			
ari	Arikara	L				I			
arj	Arapaso	E				I			
ark	Arikapú	L				I			
arl	Arabela	L				I			
arn	Mapudungun	L	arn	arn		I			
aro	Araona	L				I			
arp	Arapaho	L	arp	arp		I			
arq	Algerian Arabic	L				I			
arr	Karo (Brazil)	L				I			
ars	Najdi Arabic	L				I			
aru	Aruá (Amazonas State)	E				I			
arv	Arbore	L				I			
arw	Arawak	L	arw	arw		I			
arx	Aruá (Rodonia State)	L				I			
ary	Moroccan Arabic	L				I			
arz	Egyptian Arabic	L				I			
asa	Asu (Tanzania)	L				I			
asb	Assiniboine	L				I			
asc	Casuarina Coast Asmat	L				I			
ase	American Sign Language	L				I			
asf	Auslan	L				I			
asg	Cishingini	L				I			
ash	Abishira	E				I			
asi	Buruwai	L				I			
asj	Sari	L				I			
ask	Ashkun	L				I			
asl	Asilulu	L				I			
asm	Assamese	L	asm	asm	as	I			
asn	Xingú Asuriní	L				I			
aso	Dano	L				I			
asp	Algerian Sign Language	L				I			
asq	Austrian Sign Language	L				I			
asr	Asuri	L				I			
ass	Ipulo	L				I			
ast	Asturian	L	ast	ast		I			
asu	Tocantins Asurini	L				I			
asv	Asoa	L				I			
asw	Australian Aborigines Sign Language	L				I			
asx	Muratayak	L				I			
asy	Yaosakor Asmat	L				I			
asz	As	L				I			
ata	Pele-Ata	L				I			
atb	Zaiwa	L				I			
atc	Atsahuaca	E				I			
atd	Ata Manobo	L				I			
ate	Atemble	L				I			
atg	Ivbie North-Okpela-Arhe	L				I			
ati	Attié	L				I			
atj	Atikamekw	L				I			
atk	Ati	L				I			
atl	Mt. Iraya Agta	L				I			
atm	Ata	L				I			
atn	Ashtiani	L				I			
ato	Atong (Cameroon)	L				I			
atp	Pudtol Atta	L				I			
atq	Aralle-Tabulahan	L				I			
atr	Waimiri-Atroari	L				I			
ats	Gros Ventre	L				I			
att	Pamplona Atta	L				I			
atu	Reel	L				I			
atv	Northern Altai	L				I			
atw	Atsugewi	L				I			
atx	Arutani	L				I			
aty	Aneityum	L				I			
atz	Arta	L				I			
aua	Asumboa	L				I			
aub	Alugu	L				I			
auc	Waorani	L				I			
aud	Anuta	L				I			
aug	Aguna	L				I			
auh	Aushi	L				I			
aui	Anuki	L				I			
auj	Awjilah	L				I			
auk	Heyo	L				I			
aul	Aulua	L				I			
aum	Asu (Nigeria)	L				I			
aun	Molmo One	L				I			
auo	Auyokawa	E				I			
aup	Makayam	L				I			
auq	Anus	L				I			
aur	Aruek	L				I			
aut	Austral	L				I			
auu	Auye	L				I			
auw	Awyi	L				I			
aux	Aurá	E				I			
auy	Awiyaana	L				I			
auz	Uzbeki Arabic	L				I			
ava	Avaric	L	ava	ava	av	I			
avb	Avau	L				I			
avd	Alviri-Vidari	L				I			
ave	Avestan	A	ave	ave	ae	I			
avi	Avikam	L				I			
avk	Kotava	C				I			
avl	Eastern Egyptian Bedawi Arabic	L				I			
avm	Angkamuthi	E				I			
avn	Avatime	L				I			
avo	Agavotaguerra	E				I			
avs	Aushiri	E				I			
avt	Au	L				I			
avu	Avokaya	L				I			
avv	Avá-Canoeiro	L				I			
awa	Awadhi	L	awa	awa		I			
awb	Awa (Papua New Guinea)	L				I			
awc	Cicipu	L				I			
awe	Awetí	L				I			
awg	Anguthimri	E				I			
awh	Awbono	L				I			
awi	Aekyom	L				I			
awk	Awabakal	E				I			
awm	Arawum	L				I			
awn	Awngi	L				I			
awo	Awak	L				I			
awr	Awera	L				I			
aws	South Awyu	L				I			
awt	Araweté	L				I			
awu	Central Awyu	L				I			
awv	Jair Awyu	L				I			
aww	Awun	L				I			
awx	Awara	L				I			
awy	Edera Awyu	L				I			
axb	Abipon	E				I			
axe	Ayerrerenge	E				I			
axg	Mato Grosso Arára	E				I			
axk	Yaka (Central African Republic)	L				I			
axl	Lower Southern Aranda	E				I			
axm	Middle Armenian	H				I			
axx	Xârâgurè	L				I			
aya	Awar	L				I			
ayb	Ayizo Gbe	L				I			
ayc	Southern Aymara	L				I			
ayd	Ayabadhu	E				I			
aye	Ayere	L				I			
ayg	Ginyanga	L				I			
ayh	Hadrami Arabic	L				I			
ayi	Leyigha	L				I			
ayk	Akuku	L				I			
ayl	Libyan Arabic	L				I			
aym	Aymara	L	aym	aym	ay	M			
ayn	Sanaani Arabic	L				I			
ayo	Ayoreo	L				I			
ayp	North Mesopotamian Arabic	L				I			
ayq	Ayi (Papua New Guinea)	L				I			
ayr	Central Aymara	L				I			
ays	Sorsogon Ayta	L				I			
ayt	Magbukun Ayta	L				I			
ayu	Ayu	L				I			
ayz	Mai Brat	L				I			
aza	Azha	L				I			
azb	South Azerbaijani	L				I			
azd	Eastern Durango Nahuatl	L				I			
aze	Azerbaijani	L	aze	aze	az	M			
azg	San Pedro Amuzgos Amuzgo	L				I			
azj	North Azerbaijani	L				I			
azm	Ipalapa Amuzgo	L				I			
azn	Western Durango Nahuatl	L				I			
azo	Awing	L				I			
azt	Faire Atta	L				I			
azz	Highland Puebla Nahuatl	L				I			
baa	Babatana	L				I			
bab	Bainouk-Gunyuño	L				I			
bac	Badui	L				I			
bae	Baré	E				I			
baf	Nubaca	L				I			
bag	Tuki	L				I			
bah	Bahamas Creole English	L				I			
baj	Barakai	L				I			
bak	Bashkir	L	bak	bak	ba	I			
bal	Baluchi	L	bal	bal		M			
bam	Bambara	L	bam	bam	bm	I			
ban	Balinese	L	ban	ban		I			
bao	Waimaha	L				I			
bap	Bantawa	L				I			
bar	Bavarian	L				I			
bas	Basa (Cameroon)	L	bas	bas		I			
bau	Bada (Nigeria)	L				I			
bav	Vengo	L				I			
baw	Bambili-Bambui	L				I			
bax	Bamun	L				I			
bay	Batuley	L				I			
bba	Baatonum	L				I			
bbb	Barai	L				I			
bbc	Batak Toba	L				I			
bbd	Bau	L				I			
bbe	Bangba	L				I			
bbf	Baibai	L				I			
bbg	Barama	L				I			
bbh	Bugan	L				I			
bbi	Barombi	L				I			
bbj	Ghomálá'	L				I			
bbk	Babanki	L				I			
bbl	Bats	L				I			
bbm	Babango	L				I			
bbn	Uneapa	L				I			
bbo	Northern Bobo Madaré	L				I			
bbp	West Central Banda	L				I			
bbq	Bamali	L				I			
bbr	Girawa	L				I			
bbs	Bakpinka	L				I			
bbt	Mburku	L				I			
bbu	Kulung (Nigeria)	L				I			
bbv	Karnai	L				I			
bbw	Baba	L				I			
bbx	Bubia	L				I			
bby	Befang	L				I			
bca	Central Bai	L				I			
bcb	Bainouk-Samik	L				I			
bcc	Southern Balochi	L				I			
bcd	North Babar	L				I			
bce	Bamenyam	L				I			
bcf	Bamu	L				I			
bcg	Baga Pokur	L				I			
bch	Bariai	L				I			
bci	Baoulé	L				I			
bcj	Bardi	L				I			
bck	Bunuba	L				I			
bcl	Central Bikol	L				I			
bcm	Bannoni	L				I			
bcn	Bali (Nigeria)	L				I			
bco	Kaluli	L				I			
bcp	Bali (Democratic Republic of Congo)	L				I			
bcq	Bench	L				I			
bcr	Babine	L				I			
bcs	Kohumono	L				I			
bct	Bendi	L				I			
bcu	Awad Bing	L				I			
bcv	Shoo-Minda-Nye	L				I			
bcw	Bana	L				I			
bcy	Bacama	L				I			
bcz	Bainouk-Gunyaamolo	L				I			
bda	Bayot	L				I			
bdb	Basap	L				I			
bdc	Emberá-Baudó	L				I			
bdd	Bunama	L				I			
bde	Bade	L				I			
bdf	Biage	L				I			
bdg	Bonggi	L				I			
bdh	Baka (South Sudan)	L				I			
bdi	Burun	L				I			
bdj	Bai (South Sudan)	L				I			
bdk	Budukh	L				I			
bdl	Indonesian Bajau	L				I			
bdm	Buduma	L				I			
bdn	Baldemu	L				I			
bdo	Morom	L				I			
bdp	Bende	L				I			
bdq	Bahnar	L				I			
bdr	West Coast Bajau	L				I			
bds	Burunge	L				I			
bdt	Bokoto	L				I			
bdu	Oroko	L				I			
bdv	Bodo Parja	L				I			
bdw	Baham	L				I			
bdx	Budong-Budong	L				I			
bdy	Bandjalang	L				I			
bdz	Badeshi	L				I			
bea	Beaver	L				I			
beb	Bebele	L				I			
bec	Iceve-Maci	L				I			
bed	Bedoanas	L				I			
bee	Byangsi	L				I			
bef	Benabena	L				I			
beg	Belait	L				I			
beh	Biali	L				I			
bei	Bekati'	L				I			
bej	Beja	L	bej	bej		I			
bek	Bebeli	L				I			
bel	Belarusian	L	bel	bel	be	I			
bem	Bemba (Zambia)	L	bem	bem		I			
ben	Bengali	L	ben	ben	bn	I			
beo	Beami	L				I			
bep	Besoa	L				I			
beq	Beembe	L				I			
bes	Besme	L				I			
bet	Guiberoua Béte	L				I			
beu	Blagar	L				I			
bev	Daloa Bété	L				I			
bew	Betawi	L				I			
bex	Jur Modo	L				I			
bey	Beli (Papua New Guinea)	L				I			
bez	Bena (Tanzania)	L				I			
bfa	Bari	L				I			
bfb	Pauri Bareli	L				I			
bfc	Panyi Bai	L				I			
bfd	Bafut	L				I			
bfe	Betaf	L				I			
bff	Bofi	L				I			
bfg	Busang Kayan	L				I			
bfh	Blafe	L				I			
bfi	British Sign Language	L				I			
bfj	Bafanji	L				I			
bfk	Ban Khor Sign Language	L				I			
bfl	Banda-Ndélé	L				I			
bfm	Mmen	L				I			
bfn	Bunak	L				I			
bfo	Malba Birifor	L				I			
bfp	Beba	L				I			
bfq	Badaga	L				I			
bfr	Bazigar	L				I			
bfs	Southern Bai	L				I			
bft	Balti	L				I			
bfu	Gahri	L				I			
bfw	Bondo	L				I			
bfx	Bantayanon	L				I			
bfy	Bagheli	L				I			
bfz	Mahasu Pahari	L				I			
bga	Gwamhi-Wuri	L				I			
bgb	Bobongko	L				I			
bgc	Haryanvi	L				I			
bgd	Rathwi Bareli	L				I			
bge	Bauria	L				I			
bgf	Bangandu	L				I			
bgg	Bugun	L				I			
bgi	Giangan	L				I			
bgj	Bangolan	L				I			
bgk	Bit	L				I			
bgl	Bo (Laos)	L				I			
bgn	Western Balochi	L				I			
bgo	Baga Koga	L				I			
bgp	Eastern Balochi	L				I			
bgq	Bagri	L				I			
bgr	Bawm Chin	L				I			
bgs	Tagabawa	L				I			
bgt	Bughotu	L				I			
bgu	Mbongno	L				I			
bgv	Warkay-Bipim	L				I			
bgw	Bhatri	L				I			
bgx	Balkan Gagauz Turkish	L				I			
bgy	Benggoi	L				I			
bgz	Banggai	L				I			
bha	Bharia	L				I			
bhb	Bhili	L				I			
bhc	Biga	L				I			
bhd	Bhadrawahi	L				I			
bhe	Bhaya	L				I			
bhf	Odiai	L				I			
bhg	Binandere	L				I			
bhh	Bukharic	L				I			
bhi	Bhilali	L				I			
bhj	Bahing	L				I			
bhl	Bimin	L				I			
bhm	Bathari	L				I			
bhn	Bohtan Neo-Aramaic	L				I			
bho	Bhojpuri	L	bho	bho		I			
bhp	Bima	L				I			
bhq	Tukang Besi South	L				I			
bhr	Bara Malagasy	L				I			
bhs	Buwal	L				I			
bht	Bhattiyali	L				I			
bhu	Bhunjia	L				I			
bhv	Bahau	L				I			
bhw	Biak	L				I			
bhx	Bhalay	L				I			
bhy	Bhele	L				I			
bhz	Bada (Indonesia)	L				I			
bia	Badimaya	L				I			
bib	Bissa	L				I			
bid	Bidiyo	L				I			
bie	Bepour	L				I			
bif	Biafada	L				I			
big	Biangai	L				I			
bik	Bikol	L	bik	bik		M			
bil	Bile	L				I			
bim	Bimoba	L				I			
bin	Bini	L	bin	bin		I			
bio	Nai	L				I			
bip	Bila	L				I			
biq	Bipi	L				I			
bir	Bisorio	L				I			
bis	Bislama	L	bis	bis	bi	I			
bit	Berinomo	L				I			
biu	Biete	L				I			
biv	Southern Birifor	L				I			
biw	Kol (Cameroon)	L				I			
bix	Bijori	L				I			
biy	Birhor	L				I			
biz	Baloi	L				I			
bja	Budza	L				I			
bjb	Banggarla	E				I			
bjc	Bariji	L				I			
bje	Biao-Jiao Mien	L				I			
bjf	Barzani Jewish Neo-Aramaic	L				I			
bjg	Bidyogo	L				I			
bjh	Bahinemo	L				I			
bji	Burji	L				I			
bjj	Kanauji	L				I			
bjk	Barok	L				I			
bjl	Bulu (Papua New Guinea)	L				I			
bjm	Bajelani	L				I			
bjn	Banjar	L				I			
bjo	Mid-Southern Banda	L				I			
bjp	Fanamaket	L				I			
bjr	Binumarien	L				I			
bjs	Bajan	L				I			
bjt	Balanta-Ganja	L				I			
bju	Busuu	L				I			
bjv	Bedjond	L				I			
bjw	Bakwé	L				I			
bjx	Banao Itneg	L				I			
bjy	Bayali	E				I			
bjz	Baruga	L				I			
bka	Kyak	L				I			
bkc	Baka (Cameroon)	L				I			
bkd	Binukid	L				I			
bkf	Beeke	L				I			
bkg	Buraka	L				I			
bkh	Bakoko	L				I			
bki	Baki	L				I			
bkj	Pande	L				I			
bkk	Brokskat	L				I			
bkl	Berik	L				I			
bkm	Kom (Cameroon)	L				I			
bkn	Bukitan	L				I			
bko	Kwa'	L				I			
bkp	Boko (Democratic Republic of Congo)	L				I			
bkq	Bakairí	L				I			
bkr	Bakumpai	L				I			
bks	Northern Sorsoganon	L				I			
bkt	Boloki	L				I			
bku	Buhid	L				I			
bkv	Bekwarra	L				I			
bkw	Bekwel	L				I			
bkx	Baikeno	L				I			
bky	Bokyi	L				I			
bkz	Bungku	L				I			
bla	Siksika	L	bla	bla		I			
blb	Bilua	L				I			
blc	Bella Coola	L				I			
bld	Bolango	L				I			
ble	Balanta-Kentohe	L				I			
blf	Buol	L				I			
blh	Kuwaa	L				I			
bli	Bolia	L				I			
blj	Bolongan	L				I			
blk	Pa'o Karen	L				I			
bll	Biloxi	E				I			
blm	Beli (South Sudan)	L				I			
bln	Southern Catanduanes Bikol	L				I			
blo	Anii	L				I			
blp	Blablanga	L				I			
blq	Baluan-Pam	L				I			
blr	Blang	L				I			
bls	Balaesang	L				I			
blt	Tai Dam	L				I			
blv	Kibala	L				I			
blw	Balangao	L				I			
blx	Mag-Indi Ayta	L				I			
bly	Notre	L				I			
blz	Balantak	L				I			
bma	Lame	L				I			
bmb	Bembe	L				I			
bmc	Biem	L				I			
bmd	Baga Manduri	L				I			
bme	Limassa	L				I			
bmf	Bom-Kim	L				I			
bmg	Bamwe	L				I			
bmh	Kein	L				I			
bmi	Bagirmi	L				I			
bmj	Bote-Majhi	L				I			
bmk	Ghayavi	L				I			
bml	Bomboli	L				I			
bmm	Northern Betsimisaraka Malagasy	L				I			
bmn	Bina (Papua New Guinea)	E				I			
bmo	Bambalang	L				I			
bmp	Bulgebi	L				I			
bmq	Bomu	L				I			
bmr	Muinane	L				I			
bms	Bilma Kanuri	L				I			
bmt	Biao Mon	L				I			
bmu	Somba-Siawari	L				I			
bmv	Bum	L				I			
bmw	Bomwali	L				I			
bmx	Baimak	L				I			
bmz	Baramu	L				I			
bna	Bonerate	L				I			
bnb	Bookan	L				I			
bnc	Bontok	L				M			
bnd	Banda (Indonesia)	L				I			
bne	Bintauna	L				I			
bnf	Masiwang	L				I			
bng	Benga	L				I			
bni	Bangi	L				I			
bnj	Eastern Tawbuid	L				I			
bnk	Bierebo	L				I			
bnl	Boon	L				I			
bnm	Batanga	L				I			
bnn	Bunun	L				I			
bno	Bantoanon	L				I			
bnp	Bola	L				I			
bnq	Bantik	L				I			
bnr	Butmas-Tur	L				I			
bns	Bundeli	L				I			
bnu	Bentong	L				I			
bnv	Bonerif	L				I			
bnw	Bisis	L				I			
bnx	Bangubangu	L				I			
bny	Bintulu	L				I			
bnz	Beezen	L				I			
boa	Bora	L				I			
bob	Aweer	L				I			
bod	Tibetan	L	tib	bod	bo	I			
boe	Mundabli	L				I			
bof	Bolon	L				I			
bog	Bamako Sign Language	L				I			
boh	Boma	L				I			
boi	Barbareño	E				I			
boj	Anjam	L				I			
bok	Bonjo	L				I			
bol	Bole	L				I			
bom	Berom	L				I			
bon	Bine	L				I			
boo	Tiemacèwè Bozo	L				I			
bop	Bonkiman	L				I			
boq	Bogaya	L				I			
bor	Borôro	L				I			
bos	Bosnian	L	bos	bos	bs	I			
bot	Bongo	L				I			
bou	Bondei	L				I			
bov	Tuwuli	L				I			
bow	Rema	E				I			
box	Buamu	L				I			
boy	Bodo (Central African Republic)	L				I			
boz	Tiéyaxo Bozo	L				I			
bpa	Daakaka	L				I			
bpc	Mbuk	L				I			
bpd	Banda-Banda	L				I			
bpe	Bauni	L				I			
bpg	Bonggo	L				I			
bph	Botlikh	L				I			
bpi	Bagupi	L				I			
bpj	Binji	L				I			
bpk	Orowe	L				I			
bpl	Broome Pearling Lugger Pidgin	L				I			
bpm	Biyom	L				I			
bpn	Dzao Min	L				I			
bpo	Anasi	L				I			
bpp	Kaure	L				I			
bpq	Banda Malay	L				I			
bpr	Koronadal Blaan	L				I			
bps	Sarangani Blaan	L				I			
bpt	Barrow Point	E				I			
bpu	Bongu	L				I			
bpv	Bian Marind	L				I			
bpw	Bo (Papua New Guinea)	L				I			
bpx	Palya Bareli	L				I			
bpy	Bishnupriya	L				I			
bpz	Bilba	L				I			
bqa	Tchumbuli	L				I			
bqb	Bagusa	L				I			
bqc	Boko (Benin)	L				I			
bqd	Bung	L				I			
bqf	Baga Kaloum	E				I			
bqg	Bago-Kusuntu	L				I			
